trimestre_date,annee,code_region,nom_region,operations_actives,valeur_operation_manquante,periode
2025-12-01,2025,84,Auvergne-Rhônes-Alpes,239,False,2025Q4
2026-03-01,2026,84,Auvergne-Rhônes-Alpes,297,False,2026Q1
2021-12-01,2021,24,Centre-Val-de-Loire,0,True,2021Q4
2026-03-01,2026,27,Bourgogne-Franche-Comté,171,False,2026Q1
2025-12-01,2025,27,Bourgogne-Franche-Comté,130,False,2025Q4
2025-06-01,2025,27,Bourgogne-Franche-Comté,82,False,2025Q2
2026-03-01,2026,53,Bretagne,155,False,2026Q1
2025-12-01,2025,53,Bretagne,134,False,2025Q4
2023-03-01,2023,28,Normandie,7,False,2023Q1
2023-12-01,2023,75,Nouvelle-Aquitaine,32,False,2023Q4
2025-12-01,2025,24,Centre-Val-de-Loire,54,False,2025Q4
2026-03-01,2026,24,Centre-Val-de-Loire,72,False,2026Q1
2026-03-01,2026,44,Grand-Est,186,False,2026Q1
2022-06-01,2022,76,Occitanie,20,False,2022Q2
2025-12-01,2025,44,Grand-Est,161,False,2025Q4
2025-12-01,2025,32,Hauts-de-France,132,False,2025Q4
2021-06-01,2021,52,Pays-de-la-Loire,9,False,2021Q2
2026-03-01,2026,32,Hauts-de-France,151,False,2026Q1
2021-09-01,2021,24,Centre-Val-de-Loire,0,True,2021Q3
2025-12-01,2025,11,Île-de-France,65,False,2025Q4
2026-03-01,2026,11,Île-de-France,74,False,2026Q1
2023-06-01,2023,27,Bourgogne-Franche-Comté,9,False,2023Q2
2025-12-01,2025,28,Normandie,56,False,2025Q4
2026-03-01,2026,28,Normandie,66,False,2026Q1
2026-03-01,2026,75,Nouvelle-Aquitaine,197,False,2026Q1
2025-12-01,2025,75,Nouvelle-Aquitaine,171,False,2025Q4
2023-06-01,2023,44,Grand-Est,30,False,2023Q2
2026-03-01,2026,76,Occitanie,298,False,2026Q1
2025-12-01,2025,76,Occitanie,256,False,2025Q4
2022-09-01,2022,84,Auvergne-Rhônes-Alpes,8,False,2022Q3
2024-09-01,2024,52,Pays-de-la-Loire,45,False,2024Q3
2025-12-01,2025,52,Pays-de-la-Loire,132,False,2025Q4
2026-03-01,2026,52,Pays-de-la-Loire,159,False,2026Q1
2025-12-01,2025,93,Provence-Alpes-Côte-d'Azur,95,False,2025Q4
2025-03-01,2025,27,Bourgogne-Franche-Comté,60,False,2025Q1
2026-03-01,2026,93,Provence-Alpes-Côte-d'Azur,119,False,2026Q1
2024-09-01,2024,76,Occitanie,75,False,2024Q3
2023-06-01,2023,75,Nouvelle-Aquitaine,19,False,2023Q2
2024-12-01,2024,27,Bourgogne-Franche-Comté,53,False,2024Q4
2024-09-01,2024,11,Île-de-France,27,False,2024Q3
2023-12-01,2023,28,Normandie,13,False,2023Q4
2024-03-01,2024,76,Occitanie,51,False,2024Q1
2025-03-01,2025,24,Centre-Val-de-Loire,30,False,2025Q1
2024-12-01,2024,93,Provence-Alpes-Côte-d'Azur,42,False,2024Q4
2024-03-01,2024,84,Auvergne-Rhônes-Alpes,48,False,2024Q1
2023-06-01,2023,53,Bretagne,29,False,2023Q2
2021-12-01,2021,27,Bourgogne-Franche-Comté,0,True,2021Q4
2022-09-01,2022,93,Provence-Alpes-Côte-d'Azur,7,False,2022Q3
2021-06-01,2021,11,Île-de-France,0,True,2021Q2
2021-12-01,2021,28,Normandie,3,False,2021Q4
2022-12-01,2022,44,Grand-Est,19,False,2022Q4
2023-03-01,2023,32,Hauts-de-France,32,False,2023Q1
2023-03-01,2023,24,Centre-Val-de-Loire,3,False,2023Q1
2025-03-01,2025,53,Bretagne,64,False,2025Q1
2024-12-01,2024,75,Nouvelle-Aquitaine,72,False,2024Q4
2024-06-01,2024,53,Bretagne,39,False,2024Q2
2023-03-01,2023,53,Bretagne,22,False,2023Q1
2023-06-01,2023,11,Île-de-France,11,False,2023Q2
2021-12-01,2021,32,Hauts-de-France,22,False,2021Q4
2022-09-01,2022,52,Pays-de-la-Loire,11,False,2022Q3
2022-12-01,2022,32,Hauts-de-France,30,False,2022Q4
2021-06-01,2021,84,Auvergne-Rhônes-Alpes,5,False,2021Q2
2021-06-01,2021,53,Bretagne,3,False,2021Q2
2022-06-01,2022,32,Hauts-de-France,25,False,2022Q2
2025-03-01,2025,28,Normandie,30,False,2025Q1
2021-12-01,2021,93,Provence-Alpes-Côte-d'Azur,3,False,2021Q4
2022-06-01,2022,84,Auvergne-Rhônes-Alpes,6,False,2022Q2
2022-09-01,2022,75,Nouvelle-Aquitaine,10,False,2022Q3
2025-06-01,2025,11,Île-de-France,49,False,2025Q2
2021-09-01,2021,32,Hauts-de-France,18,False,2021Q3
2023-06-01,2023,76,Occitanie,33,False,2023Q2
2024-03-01,2024,28,Normandie,13,False,2024Q1
2024-09-01,2024,84,Auvergne-Rhônes-Alpes,76,False,2024Q3
2024-06-01,2024,11,Île-de-France,18,False,2024Q2
2022-03-01,2022,84,Auvergne-Rhônes-Alpes,5,False,2022Q1
2021-03-01,2021,76,Occitanie,8,False,2021Q1
2022-03-01,2022,24,Centre-Val-de-Loire,0,True,2022Q1
2021-03-01,2021,52,Pays-de-la-Loire,7,False,2021Q1
2021-06-01,2021,44,Grand-Est,0,True,2021Q2
2022-06-01,2022,28,Normandie,4,False,2022Q2
2024-03-01,2024,44,Grand-Est,51,False,2024Q1
2025-06-01,2025,93,Provence-Alpes-Côte-d'Azur,67,False,2025Q2
2025-03-01,2025,32,Hauts-de-France,72,False,2025Q1
2021-12-01,2021,52,Pays-de-la-Loire,9,False,2021Q4
2022-12-01,2022,53,Bretagne,16,False,2022Q4
2022-12-01,2022,28,Normandie,6,False,2022Q4
2022-09-01,2022,53,Bretagne,12,False,2022Q3
2024-06-01,2024,84,Auvergne-Rhônes-Alpes,55,False,2024Q2
2023-12-01,2023,52,Pays-de-la-Loire,24,False,2023Q4
2023-09-01,2023,52,Pays-de-la-Loire,17,False,2023Q3
2022-03-01,2022,11,Île-de-France,0,True,2022Q1
2023-09-01,2023,27,Bourgogne-Franche-Comté,14,False,2023Q3
2024-03-01,2024,52,Pays-de-la-Loire,25,False,2024Q1
2023-06-01,2023,52,Pays-de-la-Loire,14,False,2023Q2
2023-06-01,2023,32,Hauts-de-France,33,False,2023Q2
2021-03-01,2021,32,Hauts-de-France,14,False,2021Q1
2023-12-01,2023,24,Centre-Val-de-Loire,6,False,2023Q4
2023-09-01,2023,84,Auvergne-Rhônes-Alpes,31,False,2023Q3
2021-03-01,2021,11,Île-de-France,0,True,2021Q1
2022-12-01,2022,93,Provence-Alpes-Côte-d'Azur,7,False,2022Q4
2023-03-01,2023,84,Auvergne-Rhônes-Alpes,16,False,2023Q1
2022-03-01,2022,53,Bretagne,8,False,2022Q1
2022-03-01,2022,75,Nouvelle-Aquitaine,9,False,2022Q1
2025-06-01,2025,84,Auvergne-Rhônes-Alpes,172,False,2025Q2
2021-12-01,2021,76,Occitanie,15,False,2021Q4
2022-06-01,2022,24,Centre-Val-de-Loire,0,True,2022Q2
2022-09-01,2022,44,Grand-Est,7,False,2022Q3
2022-12-01,2022,11,Île-de-France,4,False,2022Q4
2023-12-01,2023,27,Bourgogne-Franche-Comté,17,False,2023Q4
2024-09-01,2024,93,Provence-Alpes-Côte-d'Azur,32,False,2024Q3
2023-03-01,2023,76,Occitanie,28,False,2023Q1
2021-06-01,2021,76,Occitanie,13,False,2021Q2
2021-03-01,2021,93,Provence-Alpes-Côte-d'Azur,0,True,2021Q1
2021-12-01,2021,53,Bretagne,3,False,2021Q4
2024-06-01,2024,32,Hauts-de-France,54,False,2024Q2
2023-06-01,2023,93,Provence-Alpes-Côte-d'Azur,13,False,2023Q2
2023-09-01,2023,53,Bretagne,27,False,2023Q3
2021-03-01,2021,53,Bretagne,3,False,2021Q1
2024-09-01,2024,44,Grand-Est,64,False,2024Q3
2025-06-01,2025,75,Nouvelle-Aquitaine,110,False,2025Q2
2024-12-01,2024,84,Auvergne-Rhônes-Alpes,93,False,2024Q4
2024-03-01,2024,32,Hauts-de-France,49,False,2024Q1
2024-03-01,2024,11,Île-de-France,13,False,2024Q1
2023-12-01,2023,11,Île-de-France,13,False,2023Q4
2023-06-01,2023,24,Centre-Val-de-Loire,3,False,2023Q2
2023-06-01,2023,28,Normandie,8,False,2023Q2
2021-09-01,2021,11,Île-de-France,0,True,2021Q3
2021-12-01,2021,84,Auvergne-Rhônes-Alpes,5,False,2021Q4
2022-09-01,2022,11,Île-de-France,0,True,2022Q3
2022-03-01,2022,52,Pays-de-la-Loire,10,False,2022Q1
2023-12-01,2023,93,Provence-Alpes-Côte-d'Azur,20,False,2023Q4
2021-03-01,2021,84,Auvergne-Rhônes-Alpes,3,False,2021Q1
2022-06-01,2022,11,Île-de-France,0,True,2022Q2
2023-12-01,2023,32,Hauts-de-France,45,False,2023Q4
2024-03-01,2024,53,Bretagne,34,False,2024Q1
2022-03-01,2022,28,Normandie,4,False,2022Q1
2023-03-01,2023,27,Bourgogne-Franche-Comté,7,False,2023Q1
2023-03-01,2023,44,Grand-Est,27,False,2023Q1
2022-06-01,2022,75,Nouvelle-Aquitaine,10,False,2022Q2
2023-09-01,2023,93,Provence-Alpes-Côte-d'Azur,16,False,2023Q3
2021-09-01,2021,44,Grand-Est,0,True,2021Q3
2025-06-01,2025,53,Bretagne,87,False,2025Q2
2022-09-01,2022,24,Centre-Val-de-Loire,0,True,2022Q3
2022-06-01,2022,27,Bourgogne-Franche-Comté,3,False,2022Q2
2024-12-01,2024,28,Normandie,26,False,2024Q4
2025-06-01,2025,24,Centre-Val-de-Loire,35,False,2025Q2
2022-03-01,2022,76,Occitanie,17,False,2022Q1
2022-03-01,2022,93,Provence-Alpes-Côte-d'Azur,4,False,2022Q1
2024-03-01,2024,75,Nouvelle-Aquitaine,42,False,2024Q1
2024-06-01,2024,75,Nouvelle-Aquitaine,48,False,2024Q2
2023-12-01,2023,76,Occitanie,44,False,2023Q4
2021-03-01,2021,24,Centre-Val-de-Loire,0,True,2021Q1
2021-03-01,2021,28,Normandie,3,False,2021Q1
2024-06-01,2024,52,Pays-de-la-Loire,34,False,2024Q2
2021-06-01,2021,32,Hauts-de-France,17,False,2021Q2
2021-06-01,2021,75,Nouvelle-Aquitaine,6,False,2021Q2
2021-09-01,2021,52,Pays-de-la-Loire,9,False,2021Q3
2022-09-01,2022,28,Normandie,5,False,2022Q3
2023-09-01,2023,11,Île-de-France,11,False,2023Q3
2021-09-01,2021,28,Normandie,3,False,2021Q3
2021-09-01,2021,93,Provence-Alpes-Côte-d'Azur,3,False,2021Q3
2023-12-01,2023,84,Auvergne-Rhônes-Alpes,43,False,2023Q4
2022-09-01,2022,32,Hauts-de-France,26,False,2022Q3
2023-09-01,2023,28,Normandie,9,False,2023Q3
2021-03-01,2021,75,Nouvelle-Aquitaine,4,False,2021Q1
2022-06-01,2022,44,Grand-Est,3,False,2022Q2
2024-12-01,2024,52,Pays-de-la-Loire,58,False,2024Q4
2023-09-01,2023,75,Nouvelle-Aquitaine,23,False,2023Q3
2023-09-01,2023,76,Occitanie,35,False,2023Q3
2022-06-01,2022,93,Provence-Alpes-Côte-d'Azur,7,False,2022Q2
2024-06-01,2024,76,Occitanie,69,False,2024Q2
2023-09-01,2023,44,Grand-Est,34,False,2023Q3
2023-03-01,2023,11,Île-de-France,6,False,2023Q1
2023-03-01,2023,52,Pays-de-la-Loire,13,False,2023Q1
2021-09-01,2021,27,Bourgogne-Franche-Comté,0,False,2021Q3
2022-09-01,2022,76,Occitanie,21,False,2022Q3
2022-12-01,2022,27,Bourgogne-Franche-Comté,5,False,2022Q4
2025-03-01,2025,84,Auvergne-Rhônes-Alpes,124,False,2025Q1
2022-03-01,2022,27,Bourgogne-Franche-Comté,0,True,2022Q1
2022-03-01,2022,32,Hauts-de-France,22,False,2022Q1
2021-03-01,2021,44,Grand-Est,0,True,2021Q1
2024-03-01,2024,93,Provence-Alpes-Côte-d'Azur,27,False,2024Q1
2023-12-01,2023,53,Bretagne,31,False,2023Q4
2021-09-01,2021,76,Occitanie,14,False,2021Q3
2025-06-01,2025,52,Pays-de-la-Loire,101,False,2025Q2
2025-03-01,2025,44,Grand-Est,100,False,2025Q1
2025-03-01,2025,76,Occitanie,135,False,2025Q1
2021-06-01,2021,28,Normandie,3,False,2021Q2
2024-12-01,2024,32,Hauts-de-France,68,False,2024Q4
2024-09-01,2024,53,Bretagne,45,False,2024Q3
2022-06-01,2022,53,Bretagne,10,False,2022Q2
2023-03-01,2023,75,Nouvelle-Aquitaine,16,False,2023Q1
2023-09-01,2023,24,Centre-Val-de-Loire,4,False,2023Q3
2024-06-01,2024,44,Grand-Est,57,False,2024Q2
2022-12-01,2022,52,Pays-de-la-Loire,14,False,2022Q4
2021-06-01,2021,27,Bourgogne-Franche-Comté,0,False,2021Q2
2022-12-01,2022,76,Occitanie,23,False,2022Q4
2024-09-01,2024,28,Normandie,24,False,2024Q3
2025-06-01,2025,32,Hauts-de-France,83,False,2025Q2
2025-03-01,2025,11,Île-de-France,39,False,2025Q1
2024-09-01,2024,27,Bourgogne-Franche-Comté,36,False,2024Q3
2024-09-01,2024,32,Hauts-de-France,62,False,2024Q3
2024-06-01,2024,27,Bourgogne-Franche-Comté,24,False,2024Q2
2022-12-01,2022,24,Centre-Val-de-Loire,3,False,2022Q4
2025-06-01,2025,76,Occitanie,174,False,2025Q2
2024-12-01,2024,44,Grand-Est,81,False,2024Q4
2024-12-01,2024,11,Île-de-France,33,False,2024Q4
2024-03-01,2024,27,Bourgogne-Franche-Comté,18,False,2024Q1
2021-09-01,2021,84,Auvergne-Rhônes-Alpes,5,False,2021Q3
2021-09-01,2021,75,Nouvelle-Aquitaine,6,False,2021Q3
2023-09-01,2023,32,Hauts-de-France,38,False,2023Q3
2025-06-01,2025,28,Normandie,38,False,2025Q2
2022-12-01,2022,84,Auvergne-Rhônes-Alpes,10,False,2022Q4
2025-06-01,2025,44,Grand-Est,113,False,2025Q2
2024-06-01,2024,28,Normandie,17,False,2024Q2
2022-12-01,2022,75,Nouvelle-Aquitaine,12,False,2022Q4
2021-06-01,2021,93,Provence-Alpes-Côte-d'Azur,0,True,2021Q2
2024-03-01,2024,24,Centre-Val-de-Loire,8,False,2024Q1
2025-03-01,2025,52,Pays-de-la-Loire,85,False,2025Q1
2025-03-01,2025,93,Provence-Alpes-Côte-d'Azur,54,False,2025Q1
2021-09-01,2021,53,Bretagne,4,False,2021Q3
2024-12-01,2024,53,Bretagne,55,False,2024Q4
2025-03-01,2025,75,Nouvelle-Aquitaine,90,False,2025Q1
2024-09-01,2024,75,Nouvelle-Aquitaine,58,False,2024Q3
2024-06-01,2024,24,Centre-Val-de-Loire,10,False,2024Q2
2024-06-01,2024,93,Provence-Alpes-Côte-d'Azur,29,False,2024Q2
2021-03-01,2021,27,Bourgogne-Franche-Comté,0,False,2021Q1
2023-03-01,2023,93,Provence-Alpes-Côte-d'Azur,10,False,2023Q1
2023-06-01,2023,84,Auvergne-Rhônes-Alpes,22,False,2023Q2
2022-03-01,2022,44,Grand-Est,3,False,2022Q1
2021-12-01,2021,44,Grand-Est,3,False,2021Q4
2021-12-01,2021,75,Nouvelle-Aquitaine,9,False,2021Q4
2024-09-01,2024,24,Centre-Val-de-Loire,15,False,2024Q3
2024-12-01,2024,24,Centre-Val-de-Loire,23,False,2024Q4
2022-09-01,2022,27,Bourgogne-Franche-Comté,3,False,2022Q3
2023-12-01,2023,44,Grand-Est,44,False,2023Q4
2022-06-01,2022,52,Pays-de-la-Loire,10,False,2022Q2
2024-12-01,2024,76,Occitanie,94,False,2024Q4
2021-06-01,2021,24,Centre-Val-de-Loire,0,True,2021Q2
2021-12-01,2021,11,Île-de-France,0,True,2021Q4
2025-09-01,2025,84,Auvergne-Rhônes-Alpes,192,False,2025Q3
2025-09-01,2025,27,Bourgogne-Franche-Comté,113,False,2025Q3
2025-09-01,2025,75,Nouvelle-Aquitaine,135,False,2025Q3
2025-09-01,2025,24,Centre-Val-de-Loire,40,False,2025Q3
2025-09-01,2025,32,Hauts-de-France,110,False,2025Q3
2025-09-01,2025,53,Bretagne,106,False,2025Q3
2025-09-01,2025,11,Île-de-France,57,False,2025Q3
2025-09-01,2025,28,Normandie,49,False,2025Q3
2025-09-01,2025,76,Occitanie,204,False,2025Q3
2025-09-01,2025,93,Provence-Alpes-Côte-d'Azur,84,False,2025Q3
2025-09-01,2025,44,Grand-Est,135,False,2025Q3
2025-09-01,2025,52,Pays-de-la-Loire,118,False,2025Q3
